,k,accuracy,precision,recall,f1
64,129,[0.99928149 0.99680664 0.99992017 1.         0.96247805],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94749777],[0.99949752 0.99777059 0.99994414 1.         0.97304118]
65,131,[0.99928149 0.99680664 0.99992017 1.         0.96263771],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94772118],[0.99949752 0.99777059 0.99994414 1.         0.97315898]
66,133,[0.99928149 0.99680664 0.99992017 1.         0.96263771],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94772118],[0.99949752 0.99777059 0.99994414 1.         0.97315898]
67,135,[0.99928149 0.99680664 0.99984033 1.         0.96279738],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94794459],[0.99949752 0.99777059 0.99988827 1.         0.97327675]
68,137,[0.99928149 0.99680664 0.99984033 1.         0.96279738],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94794459],[0.99949752 0.99777059 0.99988827 1.         0.97327675]
69,139,[0.99928149 0.99680664 0.99984033 1.         0.96295705],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94816801],[0.99949752 0.99777059 0.99988827 1.         0.9733945 ]
70,141,[0.99928149 0.99680664 0.99984033 1.         0.96303688],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94827971],[0.99949752 0.99777059 0.99988827 1.         0.97345336]
71,143,[0.99928149 0.99680664 0.99984033 1.         0.96327639],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94861483],[0.99949752 0.99777059 0.99988827 1.         0.9736299 ]
72,145,[0.99928149 0.99680664 0.99984033 1.         0.96327639],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94861483],[0.99949752 0.99777059 0.99988827 1.         0.9736299 ]
73,147,[0.99928149 0.99680664 0.99984033 1.         0.96367555],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94917337],[0.99949752 0.99777059 0.99988827 1.         0.97392401]
